Country Name,Country Code,Indicator Name,Indicator Code,1980 [YR1980],2008 [YR2008]
Afghanistan,AFG,Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,NA,0.0652571026915187
Afghanistan,AFG,Merchandise exports to developing economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,NA,21.7765314235185
Afghanistan,AFG,Merchandise exports to developing economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,15.9360392796738,42.8527195075085
Afghanistan,AFG,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,3.16015236981598,3.02779846482611
Afghanistan,AFG,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,21.6472227110969,35.3707490681371
Afghanistan,AFG,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,841000000,3019860000
Afghanistan,AFG,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,494754000,6096313965
Afghanistan,AFG,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,60.4660093703133,1.36475874360181E-08
Afghanistan,AFG,Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,1.653346915841,5.22116312808702
Afghanistan,AFG,Merchandise imports from developing economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS,NA,21.2770340759344
Afghanistan,AFG,Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,NA,0.153831176721555
Afghanistan,AFG,Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,0.0974221532317071,0.178405281454365
Afghanistan,AFG,Merchandise imports from developing economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,7.1686130885248,40.2360151717842
Afghanistan,AFG,Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,NA,NA
Afghanistan,AFG,Merchandise imports from developing economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,NA,28.0669144244936
Afghanistan,AFG,Merchandise imports from developing economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,7.1686130885248,40.2360151717842
Afghanistan,AFG,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,0.00525513689631615,0.460067199082979
Afghanistan,AFG,Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,32.3653775411619,31.6970703900746
Afghanistan,AFG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,41.4913439176239,34.933652914055
Afghanistan,AFG,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,NA,125.9077995184
Afghanistan,AFG,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,NA,0.206429504969145
Afghanistan,AFG,New businesses registered (number),IC.BUS.NREG,NA,2720
Afghanistan,AFG,Number of visits or required meetings with tax officials,IC.TAX.METG,NA,1.2
Afghanistan,AFG,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,NA,NA
Afghanistan,AFG,Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,NA,0.396869440571365
Afghanistan,AFG,Other taxes payable by businesses (% of commercial profits),IC.TAX.OTHR.CP.ZS,NA,NA
Afghanistan,AFG,Power outages in firms in a typical month (number),IC.ELC.OUTG,NA,15
Afghanistan,AFG,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,NA,0
Afghanistan,AFG,Procedures to build a warehouse (number),IC.WRH.PROC,NA,12
Afghanistan,AFG,Procedures to enforce a contract (number),IC.LGL.PROC,NA,47
Afghanistan,AFG,Procedures to register property (number),IC.PRP.PROC,NA,9
Afghanistan,AFG,Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,NA,NA
Afghanistan,AFG,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,NA,0
Afghanistan,AFG,"Share of tariff lines with international peaks, all products (%)",TM.TAX.MRCH.IP.ZS,NA,4.382544
Afghanistan,AFG,"Share of tariff lines with international peaks, manufactured products (%)",TM.TAX.MANF.IP.ZS,NA,3.669623
Afghanistan,AFG,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,NA,6.576521
Afghanistan,AFG,"Share of tariff lines with specific rates, all products (%)",TM.TAX.MRCH.SR.ZS,NA,0.724234
Afghanistan,AFG,"Share of tariff lines with specific rates, manufactured products (%)",TM.TAX.MANF.SR.ZS,NA,0
Afghanistan,AFG,"Share of tariff lines with specific rates, primary products (%)",TM.TAX.TCOM.SR.ZS,NA,4.7941
Afghanistan,AFG,Start-up procedures to register a business (number),IC.REG.PROC,NA,4
Afghanistan,AFG,Strength of legal rights index (0=weak to 10=strong),IC.LGL.CRED.XQ,NA,1
Afghanistan,AFG,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,NA,6.2
Afghanistan,AFG,"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS,NA,6.06
Afghanistan,AFG,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,NA,7.01
Afghanistan,AFG,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,NA,6.44
Afghanistan,AFG,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,NA,6.25
Afghanistan,AFG,"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,NA,6.69
Afghanistan,AFG,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,NA,5.56
Afghanistan,AFG,"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS,NA,5.64
Afghanistan,AFG,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,NA,5.23
Afghanistan,AFG,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,NA,6.44
Afghanistan,AFG,"Tariff rate, most favored nation, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.FN.ZS,NA,6.25
