Country Name,Country Code,Indicator Name,Indicator Code,1980 [YR1980],2008 [YR2008]
Albania,ALB,Quasi-liquid liabilities (% of GDP),FS.LBL.QLIQ.GD.ZS,NA,NA
Albania,ALB,Real effective exchange rate index (2005 = 100),PX.REX.REER,NA,NA
Albania,ALB,Real interest rate (%),FR.INR.RINR,NA,8.29691749569423
Albania,ALB,"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,NA,6.77790761239409
Albania,ALB,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,NA,NA
Albania,ALB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,NA,NA
Albania,ALB,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,NA,NA
Albania,ALB,"Stocks traded, turnover ratio (%)",CM.MKT.TRNR,NA,NA
Albania,ALB,Wholesale price index (2005 = 100),FP.WPI.TOTL,NA,111.067588965747
Algeria,DZA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,NA,4.0689075343202
Algeria,DZA,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,NA,NA
Algeria,DZA,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,NA,115.718639796394
Algeria,DZA,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,NA,NA
Algeria,DZA,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,NA,27.8604186823677
Algeria,DZA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,57.5624609036804,58.8224535684842
Algeria,DZA,Broad money (current LCU),FM.LBL.BMNY.CN,93539000000,6496177363528.56
Algeria,DZA,Broad money growth (annual %),FM.LBL.BMNY.ZG,17.380065002698,15.673804637221
Algeria,DZA,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,3.4506916430413,0.67918575810772
Algeria,DZA,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,6.9633199061351,-26.5324518622488
Algeria,DZA,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,13.0910767787126,-37.0026832755204
Algeria,DZA,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,NA,24.3804532459556
Algeria,DZA,Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,NA,7.6169450679069
Algeria,DZA,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,15.3496718493142,3.52889157181309
Algeria,DZA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,NA,5.07457502149593
Algeria,DZA,Consumer price index (2005 = 100),FP.CPI.TOTL,7.52330449579927,111.231721539428
Algeria,DZA,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,3.83750009536743,64.583
Algeria,DZA,Deposit interest rate (%),FR.INR.DPST,3,1.75
Algeria,DZA,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,NA,325.896259112275
Algeria,DZA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,61.5993839360856,-12.6222300295648
Algeria,DZA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,48.508307157373,13.1655479200384
Algeria,DZA,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,48.3021533134926,12.7768824561434
Algeria,DZA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,100,3120.05397598353
Algeria,DZA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,25.8620387539006,15.7627691716392
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.51782449754957,4.86299052774073
Algeria,DZA,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,NA,6.25
Algeria,DZA,Lending interest rate (%),FR.INR.LEND,NA,8
Algeria,DZA,Liquid liabilities (M3) as % of GDP,FS.LBL.LIQU.GD.ZS,63.898460833809,46.7145583346381
Algeria,DZA,"Listed domestic companies, total",CM.MKT.LDOM.NO,NA,NA
Algeria,DZA,Market capitalization of listed companies (% of GDP),CM.MKT.LCAP.GD.ZS,NA,NA
Algeria,DZA,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,NA,NA
Algeria,DZA,Money (current LCU),FM.LBL.MONY.CN,75843000000,4335406827528.56
Algeria,DZA,Money and quasi money (M2) (current LCU),FM.LBL.MQMY.CN,93539000000,6496177363528.56
Algeria,DZA,Money and quasi money (M2) as % of GDP,FM.LBL.MQMY.GD.ZS,57.5624609036804,58.8224535684842
Algeria,DZA,Money and quasi money (M2) to total reserves ratio,FM.LBL.MQMY.IR.ZS,3.4506916430413,0.67918575810772
Algeria,DZA,Money and quasi money growth (annual %),FM.LBL.MQMY.ZG,17.380065002698,15.673804637221
Algeria,DZA,Net domestic credit (current LCU),FM.AST.DOMS.CN,100099000000,-1402359013553.1
Algeria,DZA,Net foreign assets (current LCU),FM.AST.NFRG.CN,6705000871.07693,10246822510549.8
Algeria,DZA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.837449999,64.5828
Algeria,DZA,"Point-of-sale terminals (per 100,000 adults)",FB.POS.TOTL.P5,NA,NA
Algeria,DZA,Quasi money (current LCU),FM.LBL.QMNY.CN,19401000000,NA
Algeria,DZA,Quasi-liquid liabilities (% of GDP),FS.LBL.QLIQ.GD.ZS,17.2258459638848,7.45773812456491
Algeria,DZA,Real effective exchange rate index (2005 = 100),PX.REX.REER,314.154048716262,103.209139923834
Algeria,DZA,Real interest rate (%),FR.INR.RINR,NA,-6.70575628691937
Algeria,DZA,"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,NA,7.66583333333333
Algeria,DZA,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,NA,NA
Algeria,DZA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,NA,NA
Algeria,DZA,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,NA,NA
Algeria,DZA,"Stocks traded, turnover ratio (%)",CM.MKT.TRNR,NA,NA
Algeria,DZA,Wholesale price index (2005 = 100),FP.WPI.TOTL,NA,115.380129978902
American Samoa,ASM,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,NA,NA
American Samoa,ASM,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,NA,NA
American Samoa,ASM,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,NA,NA
American Samoa,ASM,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,NA,NA
American Samoa,ASM,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,NA,NA
American Samoa,ASM,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,NA,NA
American Samoa,ASM,Broad money (current LCU),FM.LBL.BMNY.CN,NA,NA
American Samoa,ASM,Broad money growth (annual %),FM.LBL.BMNY.ZG,NA,NA
American Samoa,ASM,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,NA,NA
American Samoa,ASM,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,NA,NA
American Samoa,ASM,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,NA,NA
American Samoa,ASM,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,NA,NA
American Samoa,ASM,Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,NA,NA
American Samoa,ASM,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,NA,NA
American Samoa,ASM,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,NA,NA
American Samoa,ASM,Consumer price index (2005 = 100),FP.CPI.TOTL,NA,NA
American Samoa,ASM,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,1,NA
American Samoa,ASM,Deposit interest rate (%),FR.INR.DPST,NA,NA
American Samoa,ASM,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,NA,NA
American Samoa,ASM,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,NA,NA
American Samoa,ASM,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,NA,NA
American Samoa,ASM,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,NA,NA
American Samoa,ASM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,NA,NA
American Samoa,ASM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,NA,NA
